0,[0.5, 0.0, 0.5]
0,[0.0, 0.0, 1.0]
0,[1.0, 0.0, 0.0]
0,[1.0, 0.0, 0.0]
0,[1.0, 0.0, 0.0]
1,[0.0, 0.5, 0.5]
1,[0.0, 0.5, 0.5]
1,[0.0, 1.0, 0.0]
1,[0.0, 0.5, 0.5]
1,[0.0, 0.5, 0.5]
1,[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
1,[0.5, 0.0, 0.5]
1,[0.0, 0.0, 1.0]
2,[0.0, 0.0, 1.0]
2,[0.0, 0.0, 1.0]
2,[0.0, 0.0, 1.0]
2,[0.0, 0.0, 1.0]
0,[0.5, 0.5, 0.0]
0,[1.0, 0.0, 0.0]
0,[1.0, 0.0, 0.0]
0,[0.5, 0.0, 0.5]
0,[0.0, 1.0, 0.0]
1,[0.0, 0.5, 0.5]
1,[0.0, 1.0, 0.0]
1,[0.0, 1.0, 0.0]
1,[0.5, 0.0, 0.5]
1,[0.5, 0.5, 0.0]
1,[1.0, 0.0, 0.0]
1,[0.0, 1.0, 0.0]
1,[0.0, 0.5, 0.5]
2,[0.0, 0.5, 0.5]
2,[0.0, 1.0, 0.0]
2,[0.0, 1.0, 0.0]
2,[0.0, 0.0, 1.0]
0,[0.5, 0.5, 0.0]
0,[1.0, 0.0, 0.0]
0,[1.0, 0.0, 0.0]
0,[0.5, 0.5, 0.0]
1,[0.0, 1.0, 0.0]
1,[0.5, 0.0, 0.5]
1,[0.0, 0.0, 1.0]
1,[0.0, 0.0, 1.0]
1,[0.0, 1.0, 0.0]
1,[1.0, 0.0, 6.447369216300019e-22]
1,[0.0, 1.0, 0.0]
2,[0.0, 0.0, 1.0]
2,[0.0, 0.0, 1.0]
2,[0.0, 0.0, 1.0]
2,[0.0, 0.0, 1.0]
0,[1.0, 0.0, 0.0]
0,[0.5, 0.5, 0.0]
0,[0.5, 0.5, 0.0]
0,[0.5, 0.5, 0.0]
1,[0.0, 1.0, 0.0]
1,[0.0, 0.0, 1.0]
1,[0.5, 0.5, 0.0]
1,[5.220757412827919e-268, 0.5, 0.5]
1,[0.0, 1.0, 0.0]
1,[0.5, 0.5, 0.0]
1,[0.5, 0.5, 0.0]
2,[0.0, 0.5, 0.5]
2,[0.0, 0.5, 0.5]
2,[0.0, 1.0, 0.0]
2,[0.0, 0.0, 1.0]
0,[0.5, 0.0, 0.5]
0,[1.0, 0.0, 0.0]
0,[1.0, 0.0, 0.0]
0,[0.5, 0.5, 0.0]
1,[0.5, 0.5, 0.0]
1,[0.0, 3.0897789339248584e-101, 1.0]
1,[0.5, 0.5, 0.0]
1,[0.0, 0.5, 0.5]
1,[0.0, 0.0, 1.0]
1,[0.0, 1.0, 0.0]
1,[0.0, 1.0, 0.0]
2,[0.0, 0.0, 1.0]
2,[0.0, 0.5, 0.5]
2,[0.0, 0.5, 0.5]
2,[1.0, 0.0, 0.0]
